"Central Michigan University, Mount Pleasant, MI",60
"Colgate University, Hamilton, NY",60
"East Tennessee State University, Johnson City, TN",60
"Furman University, Greenville, SC",60
"Queen's University at Kingston, Kingston, ON",60
"San Francisco State University, San Francisco, CA",60
"University of South Alabama, Mobile, AL",60
"Carleton College, Northfield, MN",59
"Liberty University, Lynchburg, VA",59
"Marshall University, Huntington, WV",59
"California Northstate University, Elk Grove, CA",58
"Hofstra University, Hempstead, NY",58
"Utah State University, Logan, UT",58
"Middlebury College, Middlebury, VT",57
"St. Olaf College, Northfield, MN",57
"Towson University, Baltimore, MD",57
"California State University-Fresno, Fresno, CA",56
"Colorado College, Colorado Springs, CO",55
"DePaul University, Chicago, IL",55
"Florida Agricultural and Mechanical University, Tallahassee, FL",55
"Southern Adventist University, Collegedale, TN",55
"The University of Akron, Main Campus, Akron, OH",55
"University of San Diego, San Diego, CA",55
"University of Washington-Bothell Branch, Bothell, WA",55
"American University, Washington, DC",54
"Old Dominion University, Norfolk, VA",54
"Pomona College, Claremont, CA",54
"Rowan University, Glassboro, NJ",54
"University of Richmond, Richmond, VA",54
"Western Kentucky University, Bowling Green, KY",54
"Augusta State University, Augusta, GA",53
"Florida Gulf Coast University, Fort Myers, FL",53
"Grand Canyon University, Phoenix, AZ",53
"Louisiana Tech University, Ruston, LA",53
"University of Minnesota-Duluth, Duluth, MN",53
"Washington and Lee University, Lexington, VA",53
"Chapman University, Orange, CA",52
"City University of New York Queens College, Flushing, NY",52
"Lipscomb University, Nashville, TN",52
"University of Central Arkansas, Conway, AR",52
"University of North Carolina at Charlotte, Charlotte, NC",52
"United States Military Academy, West Point, NY",51
"University of Denver, Denver, CO",51
"Wright State University-Main Campus, Dayton, OH",51
"College of the Holy Cross, Worcester, MA",50
"Pepperdine University, Malibu, CA",50
"Swarthmore College, Swarthmore, PA",50
"University of Wisconsin-Milwaukee, Milwaukee, WI",50
"Xavier University, Cincinnati, OH",50
