,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2017-2018,,,2018-2019,,,2019-2020,,,2020-2021,,,2021-2022,,,
,UT Medical Branch,546,425,971,527,452,979,504,467,971,483,487,970,470,487,957,
,UT Rio Grande Valley,55,48,103,82,74,156,106,103,209,115,109,224,113,110,223,
,UT San Antonio-Long,492,394,886,492,397,889,485,403,888,486,412,898,475,415,891,
,UT Southwestern,523,468,991,501,474,975,509,472,981,498,480,978,487,508,996,
UT,Utah,284,217,501,299,224,523,300,227,528,280,241,522,263,268,532,
VA,Eastern Virginia,355,252,607,344,263,607,338,268,606,330,278,608,317,296,613,
,Virginia,352,314,666,358,305,663,354,318,672,345,329,674,328,352,680,
,Virginia Commonwealth,482,437,919,460,420,880,424,422,846,396,413,809,367,424,792,
,Virginia Tech Carilion,94,74,168,96,74,170,86,87,173,78,96,174,80,106,186,
VT,Vermont-Larner,232,243,476,216,260,478,216,272,490,220,270,492,215,284,503,
WA,U Washington,525,599,"1,124",539,630,"1,169",523,662,"1,185",517,673,"1,190",498,676,"1,175",
,Washington State-Floyd,26,34,60,50,70,120,86,112,198,118,160,278,133,168,301,
WI,MC Wisconsin,544,438,982,530,474,"1,004",512,506,"1,018",485,552,"1,037",468,581,"1,049",
,Wisconsin,377,384,761,392,372,764,381,366,747,376,378,755,365,390,756,
WV,Marshall-Edwards,188,124,312,187,135,322,189,147,336,179,148,327,171,156,328,
,West Virginia,227,222,449,229,219,448,235,227,462,234,230,464,227,225,452,
Total Enrollment,,"46,243","43,489","89,733","46,057","45,166","91,226","45,788","46,837","92,634","45,593","48,472","94,096","45,097","50,328","95,475",
"Note: Students who declined to report sex are only reflected in the All column. Therefore, the counts for men and women may not sum to the counts shown in the All column.",,,,,,,,,,,,,,,,,
